Month,Passengers,Passengers_in000s
06-Jan,2448889,2449
06-Feb,2223024,2223
06-Mar,2708778,2709
06-Apr,2773293,2773
06-May,2829000,2829
06-Jun,3071396,3071
06-Jul,3227605,3228
06-Aug,3143839,3144
06-Sep,2720100,2720
06-Oct,2834959,2835
06-Nov,2653887,2654
06-Dec,2698200,2698
07-Jan,2507430,2507
07-Feb,2304990,2305
07-Mar,2820085,2820
07-Apr,2869247,2869
07-May,3056934,3057
07-Jun,3263621,3264
07-Jul,3382382,3382
07-Aug,3436417,3436
07-Sep,2957530,2958
07-Oct,3129309,3129
07-Nov,2922500,2923
07-Dec,2903637,2904
08-Jan,2670053,2670
08-Feb,2595676,2596
08-Mar,3127387,3127
08-Apr,3029021,3029
08-May,3305954,3306
08-Jun,3453751,3454
08-Jul,3603946,3604
08-Aug,3612297,3612
08-Sep,3004720,3005
08-Oct,3124451,3124
08-Nov,2744485,2744
08-Dec,2962937,2963
09-Jan,2644539,2645
09-Feb,2359800,2360
09-Mar,2925918,2926
09-Apr,3024973,3025
09-May,3177100,3177
09-Jun,3419595,3420
09-Jul,3649702,3650
09-Aug,3650668,3651
09-Sep,3191526,3192
09-Oct,3249428,3249
09-Nov,2971484,2971
09-Dec,3074209,3074
10-Jan,2785466,2785
10-Feb,2515361,2515
10-Mar,3105958,3106
10-Apr,3139059,3139
10-May,3380355,3380
10-Jun,3612886,3613
10-Jul,3765824,3766
10-Aug,3771842,3772
10-Sep,3356365,3356
10-Oct,3490100,3490
10-Nov,3163659,3164
10-Dec,3167124,3167
11-Jan,2883810,2884
11-Feb,2610667,2611
11-Mar,3129205,3129
11-Apr,3200527,3201
11-May,3547804,3548
11-Jun,3766323,3766
11-Jul,3935589,3936
11-Aug,3917884,3918
11-Sep,3564970,3565
11-Oct,3602455,3602
11-Nov,3326859,3327
11-Dec,3441693,3442
12-Jan,3211600,3212
12-Feb,2998119,2998
12-Mar,3472440,3472
12-Apr,3563007,3563
12-May,3820570,3821
12-Jun,4107195,4107
12-Jul,4284443,4284
12-Aug,4356216,4356
12-Sep,3819379,3819
12-Oct,3844987,3845
12-Nov,3478890,3479
12-Dec,3443039,3443
13-Jan,3204637,3205
13-Feb,2966477,2966
13-Mar,3593364,3593
13-Apr,3604104,3604
13-May,3933016,3933
13-Jun,4146797,4147
13-Jul,4176486,4176
13-Aug,4347059,4347
13-Sep,3781168,3781
13-Oct,3910790,3911
13-Nov,3466878,3467
13-Dec,3814984,3815
14-Jan,3432625,3433
14-Feb,3078405,3078
14-Mar,3765504,3766
14-Apr,3881893,3882
14-May,4147096,4147
14-Jun,4321833,4322
14-Jul,4499221,4499
14-Aug,4524918,4525
14-Sep,3919072,3919
14-Oct,4059443,4059
14-Nov,3628786,3629
14-Dec,3855835,3856
15-Jan,3550084,3550
15-Feb,3248144,3248
15-Mar,4001521,4002
15-Apr,4021677,4022
15-May,4361140,4361
15-Jun,4558511,4559
15-Jul,4801148,4801
15-Aug,4796653,4797
15-Sep,4201394,4201
15-Oct,4374749,4375
15-Nov,4013814,4014
15-Dec,4129052,4129
16-Jan,3748529,3749
16-Feb,3543639,3544
16-Mar,4137679,4138
16-Apr,4172512,4173
16-May,4573996,4574
16-Jun,4922125,4922
16-Jul,5168724,5169
16-Aug,5110638,5111
16-Sep,4543759,4544
16-Oct,4571997,4572
16-Nov,4266481,4266
16-Dec,4343369,4343
17-Jan,3897685,3898
17-Feb,3481405,3481
17-Mar,4335287,4335
17-Apr,4425920,4426
17-May,4698067,4698
17-Jun,5134110,5134
17-Jul,5496516,5497
17-Aug,5516837,5517
17-Sep,4736005,4736
17-Oct,4868674,4869
17-Nov,4572702,4573
17-Dec,4660504,4661
18-Jan,4190367,4190
18-Feb,3882181,3882
18-Mar,4674035,4674
18-Apr,4713183,4713
18-May,5025595,5026
18-Jun,5427144,5427
18-Jul,5692572,5693
18-Aug,5545859,5546
18-Sep,4649100,4649
18-Oct,4861782,4862
18-Nov,4508606,4509
18-Dec,4576449,4576
19-Jan,4156821,4157
19-Feb,3752763,3753
19-Mar,4599189,4599
19-Apr,4692941,4693
19-May,5008001,5008
19-Jun,5466688,5467
19-Jul,5612312,5612
19-Aug,5742437,5742
19-Sep,4471408,4471
19-Oct,4824559,4825
19-Nov,4370463,4370
19-Dec,4720992,4721
20-Jan,4241751,4242
20-Feb,3742224,3742
20-Mar,1885466,1885
20-Apr,138817,139
20-May,286570,287
20-Jun,555119,555
20-Jul,765274,765
20-Aug,852578,853
20-Sep,905992,906
20-Oct,1073882,1074
20-Nov,1052317,1052
20-Dec,918723,919
